Title,Name [personal] (Creator),Place of Publication,Publisher,Date Issued,Subject - Topic,Subject - Name [personal],Contributing Repository
"Carte-de-visite of Andrew W. Fortune, circa 1865-1890",,,,Circa 1865-1890,Photography--Printing processes--Albumen; Portrait photography,"Fortune, Andrew W.--Photographs",LSU Libraries. Special Collections
"Carte-de-visite of R. F. Fortune, circa 1865-1890",,,,Circa 1865-1890,Photography--Printing processes--Albumen; Portrait photography,"Fortune, R. F.--Photographs",LSU Libraries. Special Collections
"Carte-de-visite of unidentified man, circa 1865-1890",,,,Circa 1865-1890,Photography--Printing processes--Albumen; Portrait photography,,LSU Libraries. Special Collections
"Carte-de-visite of unidentified woman, circa 1865-1890",,,,Circa 1865-1890,Photography--Printing processes--Albumen; Portrait photography,,LSU Libraries. Special Collections
"Carte-de-visite of unidentified woman, circa 1865-1890","Pricam, Emile",Geneva (Switzerland),Emile Pricam,Circa 1865-1890,Photography--Printing processes--Albumen--Switzerland--Geneva; Portrait photography--Switzerland--Geneva,,LSU Libraries. Special Collections
"Carte-de-visite of girl suspected to be Mamie Parrolot, circa 1865-1890",,New Orleans (La.),B & G Moses,Circa 1865-1890,Photography--Printing processes--Albumen--Louisiana--New Orleans; Photography of children--Louisiana--New Orleans; Portrait photography--Louisiana--New Orleans,,LSU Libraries. Special Collections
"Carte-de-viste of Antonio Alvarez Gaban, Rosalia Cabellero y mi hija, circa 1865-1890",,New Orleans (La.),A. Constant,Circa 1865-1890,"Photography--Printing processes--Albumen--Louisiana--New Orleans; Portraits, Group--Louisiana--New Orleans","Gaban, Antonio Alvarez--Photographs; Cabellero, Rosalia--Photographs",LSU Libraries. Special Collections
"Carte-de-visite of unidentified woman, circa 1865-1890",,New Orleans (La.),A. Constant,Circa 1865-1890,Photography--Printing processes--Albumen--Louisiana--New Orleans; Portrait photography--Louisiana--New Orleans,,LSU Libraries. Special Collections
"Carte-de-visite of Blanche Quevreux Manual, circa 1865-1890","Lytle, Andrew David, 1834-1917",Baton Rouge (La.),A.D. Lytle,Circa 1865-1890,Photography--Printing processes--Albumen--Louisiana--Baton Rouge; Portrait photography--Louisiana--Baton Rouge,"Manual, Blanche Quevreux--Photographs",LSU Libraries. Special Collections
"Carte-de-visite of unidentified man and woman, circa 1865-1890","Lytle, Andrew David, 1834-1917",Baton Rouge (La.),A.D. Lytle,Circa 1865-1890,Photography--Printing processes--Albumen--Louisiana--Baton Rouge; Portrait photography--Louisiana--Baton Rouge,,LSU Libraries. Special Collections
